PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 699                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P100"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:30.22                                     
START_TIME                    = 2001-12-12T15:14:27.00Z                                    
STOP_TIME                     = 2001-12-12T15:25:27.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 661                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 100 of aerobraking at Mars.  The data comes from                       
  p100_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-346T15:16:15.000  0.001134  0.000177  0.000055  0.052343 -0.082868  0.490153 -0.866108
2001-346T15:16:16.000  0.001142  0.000175  0.000068  0.051802 -0.082671  0.490179 -0.866145
2001-346T15:16:17.000  0.001144  0.000178  0.000061  0.051260 -0.082473  0.490206 -0.866180
2001-346T15:16:18.000  0.001163  0.000177  0.000055  0.050714 -0.082273  0.490235 -0.866215
2001-346T15:16:19.000  0.001167  0.000177  0.000057  0.050166 -0.082072  0.490263 -0.866250
2001-346T15:16:20.000  0.001158  0.000187  0.000056  0.049617 -0.081870  0.490293 -0.866284
2001-346T15:16:21.000  0.001161  0.000198  0.000051  0.049065 -0.081667  0.490323 -0.866318
2001-346T15:16:22.000  0.001170  0.000193  0.000051  0.048512 -0.081464  0.490355 -0.866350
2001-346T15:16:23.000  0.001170  0.000191  0.000037  0.047953 -0.081258  0.490389 -0.866381
2001-346T15:16:24.000  0.001175  0.000185  0.000028  0.047392 -0.081051  0.490424 -0.866412
2001-346T15:16:25.000  0.001205  0.000187  0.000029  0.046856 -0.080852  0.490458 -0.866440
2001-346T15:16:26.000  0.001187  0.000190  0.000035  0.046264 -0.080633  0.490499 -0.866469
2001-346T15:16:27.000  0.001185  0.000194  0.000033  0.045696 -0.080422  0.490539 -0.866496
2001-346T15:16:28.000  0.001204  0.000202  0.000023  0.045128 -0.080210  0.490582 -0.866521
2001-346T15:16:29.000  0.001212  0.000188  0.000011  0.044557 -0.079996  0.490627 -0.866545
2001-346T15:16:30.000  0.001212  0.000189  0.000005  0.043983 -0.079782  0.490674 -0.866567
2001-346T15:16:31.000  0.001224  0.000191  0.000017  0.043405 -0.079566  0.490722 -0.866589
2001-346T15:16:32.000  0.001234  0.000185  0.000008  0.042827 -0.079348  0.490773 -0.866609
2001-346T15:16:33.000  0.001230  0.000190  0.000000  0.042247 -0.079128  0.490825 -0.866628
2001-346T15:16:34.000  0.001237  0.000195 -0.000000  0.041662 -0.078908  0.490879 -0.866646
2001-346T15:16:35.000  0.001242  0.000184 -0.000002  0.041076 -0.078686  0.490934 -0.866663
2001-346T15:16:36.000  0.001236  0.000181 -0.000008  0.040488 -0.078463  0.490991 -0.866679
2001-346T15:16:37.000  0.001255  0.000191 -0.000016  0.039895 -0.078239  0.491050 -0.866693
2001-346T15:16:38.000  0.001276  0.000196 -0.000003  0.039299 -0.078012  0.491112 -0.866706
2001-346T15:16:39.000  0.001273  0.000195 -0.000010  0.038702 -0.077782  0.491175 -0.866717
2001-346T15:16:40.000  0.001287  0.000195 -0.000044  0.038096 -0.077548  0.491243 -0.866727
2001-346T15:16:41.000  0.001319  0.000191 -0.000051  0.037486 -0.077310  0.491314 -0.866734
2001-346T15:16:42.000  0.001318  0.000197 -0.000049  0.036870 -0.077070  0.491389 -0.866740
2001-346T15:16:43.000  0.001333  0.000194 -0.000049  0.036249 -0.076826  0.491466 -0.866744
2001-346T15:16:44.000  0.001356  0.000200 -0.000061  0.035621 -0.076578  0.491547 -0.866746
2001-346T15:16:45.000  0.001366  0.000199 -0.000078  0.034985 -0.076324  0.491635 -0.866744
2001-346T15:16:46.000  0.001380  0.000183 -0.000095  0.034344 -0.076067  0.491728 -0.866740
2001-346T15:16:47.000  0.001397  0.000187 -0.000117  0.033694 -0.075804  0.491826 -0.866733
2001-346T15:16:48.000  0.001413  0.000188 -0.000113  0.033040 -0.075537  0.491928 -0.866723
2001-346T15:16:49.000  0.001441  0.000189 -0.000113  0.032380 -0.075266  0.492035 -0.866711
2001-346T15:16:50.000  0.001456  0.000191 -0.000129  0.031709 -0.074989  0.492151 -0.866694
2001-346T15:16:51.000  0.001465  0.000193 -0.000147  0.031036 -0.074708  0.492272 -0.866674
2001-346T15:16:52.000  0.001495  0.000199 -0.000171  0.030352 -0.074420  0.492402 -0.866649
2001-346T15:16:53.000  0.001518  0.000198 -0.000194  0.029661 -0.074127  0.492539 -0.866620
2001-346T15:16:54.000  0.001526  0.000177 -0.000207  0.028965 -0.073829  0.492683 -0.866587
2001-346T15:16:55.000  0.001548  0.000170 -0.000231  0.028253 -0.073521  0.492839 -0.866548
2001-346T15:16:56.000  0.001577  0.000170 -0.000249  0.027534 -0.073207  0.493005 -0.866503
2001-346T15:16:57.000  0.001602  0.000182 -0.000271  0.026841 -0.072902  0.493173 -0.866456
2001-346T15:16:58.000  0.001637  0.000174 -0.000307  0.026073 -0.072560  0.493369 -0.866396
2001-346T15:16:59.000  0.001658  0.000171 -0.000309  0.025329 -0.072226  0.493565 -0.866334
2001-346T15:17:00.000  0.001673  0.000163 -0.000327  0.024579 -0.071888  0.493770 -0.866267
2001-346T15:17:01.000  0.001684  0.000170 -0.000362  0.023821 -0.071542  0.493987 -0.866193
2001-346T15:17:02.000  0.001700  0.000180 -0.000398  0.023057 -0.071192  0.494213 -0.866114
2001-346T15:17:03.000  0.001717  0.000170 -0.000419  0.022289 -0.070837  0.494449 -0.866029
2001-346T15:17:04.000  0.001734  0.000170 -0.000430  0.021516 -0.070478  0.494691 -0.865939
2001-346T15:17:05.000  0.001750  0.000171 -0.000454  0.020737 -0.070114  0.494942 -0.865844
2001-346T15:17:06.000  0.001766  0.000161 -0.000460  0.019954 -0.069744  0.495200 -0.865745
2001-346T15:17:07.000  0.001767  0.000153 -0.000462  0.019164 -0.069370  0.495465 -0.865641
2001-346T15:17:08.000  0.001792  0.000146 -0.000480  0.018372 -0.068991  0.495735 -0.865534
2001-346T15:17:09.000  0.001804  0.000146 -0.000492  0.017576 -0.068608  0.496011 -0.865423
2001-346T15:17:10.000  0.001803  0.000148 -0.000509  0.016780 -0.068222  0.496291 -0.865309
2001-346T15:17:11.000  0.001812  0.000148 -0.000522  0.015976 -0.067831  0.496580 -0.865189
2001-346T15:17:12.000  0.001804  0.000148 -0.000533  0.015174 -0.067438  0.496875 -0.865065
2001-346T15:17:13.000  0.001805  0.000148 -0.000542  0.014375 -0.067045  0.497172 -0.864938
2001-346T15:17:14.000  0.001808  0.000142 -0.000552  0.013578 -0.066651  0.497473 -0.864808
2001-346T15:17:15.000  0.001793  0.000133 -0.000564  0.012789 -0.066257  0.497775 -0.864677
2001-346T15:17:16.000  0.001777  0.000123 -0.000566  0.012007 -0.065865  0.498080 -0.864543
2001-346T15:17:17.000  0.001777  0.000109 -0.000578  0.011225 -0.065471  0.498387 -0.864406
2001-346T15:17:18.000  0.001786  0.000112 -0.000576  0.010444 -0.065075  0.498696 -0.864268
2001-346T15:17:19.000  0.001774  0.000105 -0.000583  0.009664 -0.064677  0.499005 -0.864128
2001-346T15:17:20.000  0.001767  0.000107 -0.000597  0.008884 -0.064278  0.499313 -0.863988
2001-346T15:17:21.000  0.001761  0.000117 -0.000584  0.008115 -0.063883  0.499618 -0.863849
2001-346T15:17:22.000  0.001743  0.000110 -0.000549  0.007353 -0.063490  0.499917 -0.863712
2001-346T15:17:23.000  0.001740  0.000097 -0.000529  0.006595 -0.063097  0.500211 -0.863576
2001-346T15:17:24.000  0.001736  0.000094 -0.000521  0.005841 -0.062704  0.500498 -0.863444
2001-346T15:17:25.000  0.001718  0.000090 -0.000507  0.005091 -0.062311  0.500776 -0.863316
