NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.002511156,2.51115553,-19.53704415,44.12906502,314.6812848,0.398583488
0.001952383,1.952383454,-19.54360769,44.12880292,398.640497,0.771735542
0.00253798,2.537980251,-19.55887175,44.13028396,701.3996424,2.117331744
0.002493886,2.493886014,-19.55916431,44.12887959,689.4033963,2.064015095
0.002237348,2.237347818,-19.5597969,44.13122046,732.2352372,2.254378832
0.004684452,4.684451684,-19.58627638,44.12467824,1232.913773,4.479616769
0.00440402,4.404020113,-19.58461558,44.12566481,1200.918431,4.337415249
0.001996037,1.996037332,-19.53904425,44.12708561,291.3467371,0.294874387
0.002144773,2.144773075,-19.53561355,44.12538472,203.8957081,-0.093796853
0.001701601,1.701601417,-19.53462705,44.12531431,189.99067,-0.155597022
0.00262979,2.629790175,-19.53305245,44.1262336,200.3154638,-0.10970905
0.002276024,2.276023998,-19.53317574,44.12562257,183.9339047,-0.182515979
0.005314309,5.314309082,-19.52769643,44.12549817,174.0600571,-0.226399746
0.003965726,3.965726337,-19.5283842,44.12478386,149.2313563,-0.336749528
0.005952104,5.95210431,-19.53388215,44.12501388,173.9041389,-0.227092716
0.002675996,2.675995508,-19.52564968,44.12560457,194.5062867,-0.135527614
0.002405931,2.40593135,-19.52382742,44.12492469,200.8361311,-0.107394973
0.002723527,2.723526536,-19.52415854,44.12706683,249.1173589,0.107188262
0.002757761,2.757760955,-19.52410318,44.12645892,234.1161293,0.04051613
0.003506729,3.506729084,-19.52281587,44.12562726,231.4034313,0.028459695
0.004825827,4.82582682,-19.52596639,44.12603801,203.0099447,-0.097733579
0.002177603,2.177602898,-19.52466015,44.12722252,247.8868921,0.10171952
0.003179281,3.179281405,-19.52346787,44.12578452,225.7461643,0.003316286
0.001598862,1.598862182,-19.52340385,44.1259848,231.3565459,0.028251315
0.001879207,1.879206685,-19.52325627,44.12490278,208.8809319,-0.071640302
0.006184837,6.184837067,-19.52068958,44.1249685,252.4742414,0.122107739
0.002889949,2.889949432,-19.52105304,44.12534169,253.2519229,0.125564102
0.003296298,3.296298094,-19.52079925,44.12546453,259.880159,0.155022929
0.008351678,8.351677704,-19.52040029,44.12462582,251.6202178,0.118312079
0.002922748,2.922747656,-19.5204185,44.12439737,247.4930803,0.099969246
0.002215252,2.215252,-19.52125447,44.1243958,232.3445081,0.032642258
0.00267734,2.677340411,-19.5228577,44.12592613,237.5649026,0.055844012
0.002529971,2.529970597,-19.51567281,44.12679769,373.744268,0.661085636
0.003396416,3.396416305,-19.51504278,44.12677266,384.8513006,0.710450225
0.0027303,2.730299758,-19.51961582,44.12321128,246.068985,0.093639933
0.002313999,2.313999343,-19.51705332,44.12142825,285.0706279,0.266980569
0.002845416,2.845415668,-19.51702185,44.1223671,291.4195912,0.295198183
0.002351677,2.351677412,-19.51834698,44.12306341,270.0754891,0.200335507
0.003201041,3.201040847,-19.51855864,44.12404921,277.6126204,0.233833868
0.002151203,2.151203264,-19.51850017,44.12351641,272.029231,0.209018804
0.003342306,3.342306401,-19.52665482,44.12352502,129.3068465,-0.425302904
0.002409709,2.409708799,-19.5288433,44.12422211,130.45098,-0.420217867
0.002827122,2.82712161,-19.52864421,44.12228573,75.31557323,-0.665264119
0.003299589,3.29958915,-19.58677132,44.1242847,1242.314107,4.52139603
0.004788543,4.788543373,-19.53245715,44.11984707,53.67718732,-0.761434723
0.002516966,2.516965925,-19.53577475,44.11993391,125.6954095,-0.441353736
0.002131493,2.131493145,-19.53200009,44.12097525,52.62048697,-0.766131169
0.002589175,2.589174614,-19.53281714,44.1193706,64.21199314,-0.714613364
0.007047818,7.047817527,-19.53072774,44.1185272,47.37583011,-0.789440755
0.00625774,6.257739898,-19.53070887,44.11830422,53.67475619,-0.761445528
0.002830166,2.830166494,-19.53091564,44.11811645,60.47970903,-0.731201293
0.00328295,3.282949674,-19.53098197,44.118021,63.68880079,-0.716938663
0.002943972,2.943971733,-19.53102208,44.11929784,30.78871375,-0.863161272
0.007164711,7.164711254,-19.52821435,44.11906078,48.17731576,-0.785878597
0.004969278,4.96927802,-19.52812726,44.11985724,40.98683577,-0.817836285
0.002329413,2.329412595,-19.52887662,44.11955994,27.85207121,-0.876213017
0.005028941,5.028941029,-19.52992749,44.1183144,51.12576639,-0.772774372
0.002293794,2.293794444,-19.52828438,44.1177949,76.57151094,-0.659682174
0.003079233,3.079232747,-19.52889725,44.11806247,63.45285293,-0.71798732
0.005369467,5.36946677,-19.52559919,44.12009978,95.82511685,-0.574110592
0.003418511,3.418510962,-19.53041462,44.11830422,52.19570717,-0.768019079
0.002363393,2.363392727,-19.52905815,44.1185272,49.13037617,-0.781642773
0.003760288,3.760288323,-19.52676531,44.11935104,73.09632026,-0.675127466
0.00315943,3.159430337,-19.52618296,44.11908347,87.59699357,-0.610680029
0.002647362,2.647361537,-19.52934708,44.11789504,65.37766393,-0.709432605
0.003105839,3.105839138,-19.52339808,44.11803743,155.515601,-0.308819551
0.003909071,3.909071114,-19.52299151,44.11798423,164.3190463,-0.269693127
0.002806004,2.806003882,-19.52477433,44.11792008,130.0418139,-0.422036382
0.003729119,3.729118509,-19.52475405,44.11821738,126.3169621,-0.438591279
0.002691412,2.691411694,-19.52585667,44.11803587,108.0613142,-0.519727492
0.002230487,2.230486585,-19.52370892,44.11821425,147.2330716,-0.345630793
0.002312538,2.312537699,-19.52596596,44.11824789,102.6144769,-0.543935658
0.002926154,2.926153754,-19.51922123,44.1191132,236.122345,0.049432644
0.002196205,2.196205197,-19.5191145,44.12079374,238.1253195,0.058334753
0.002831642,2.831641504,-19.51905053,44.12104489,240.3941658,0.068418515
0.001374824,1.374824383,-19.51805845,44.11916093,261.1350332,0.160600148
0.002647654,2.647653878,-19.52001449,44.12063101,218.1599463,-0.030400239
0.002726435,2.726434818,-19.51720819,44.12067639,279.1485665,0.240660295
0.002245557,2.245557201,-19.51564185,44.11879556,314.6145535,0.398286905
0.002744119,2.74411943,-19.51443052,44.1192243,339.6655161,0.509624516
0.002125815,2.12581451,-19.51661258,44.12108948,293.2221437,0.303209527
0.004008426,4.008426333,-19.51803815,44.11534215,296.1733677,0.316326079
0.003672317,3.672316945,-19.51642046,44.11748351,305.2340363,0.356595717
0.002990577,2.990577082,-19.51679153,44.11705712,300.9975555,0.337766913
0.002561438,2.561438479,-19.51826838,44.11638271,277.8841228,0.235040546
0.001815774,1.81577382,-19.51615314,44.11723159,312.8333729,0.390370546
0.002729798,2.729798219,-19.51691083,44.11661821,302.7628612,0.345612717
0.001860182,1.860182218,-19.51825163,44.11607758,281.9940283,0.253306792
0.002390347,2.390347058,-19.51803242,44.11595475,287.8937337,0.279527705
0.001714083,1.714083469,-19.51799532,44.11756566,271.4937702,0.206638979
0.002517805,2.517804915,-19.51746375,44.11526391,308.3178914,0.37030174
0.002665877,2.665876767,-19.5156382,44.11679815,327.2983459,0.454659315
0.002594193,2.594192645,-19.51747335,44.11593754,299.1617596,0.329607821
0.003313815,3.313815445,-19.51984668,44.11581158,254.864389,0.132730618
0.002899118,2.899117515,-19.52052963,44.11477023,260.0426589,0.155745151
0.004345709,4.345708503,-19.52231841,44.1167074,194.7161959,-0.134594685
0.003048911,3.048910514,-19.51948366,44.11490011,276.2100559,0.227600248
0.002658423,2.658423239,-19.51943342,44.11482344,278.4203381,0.237423725
0.002038305,2.038304853,-19.52344507,44.1150425,207.2230309,-0.079008751
0.002914382,2.914381905,-19.52528925,44.11526939,176.2942173,-0.216470146
0.003198851,3.198850747,-19.52683934,44.11558703,150.434433,-0.33140252
0.005388101,5.388101078,-19.52796229,44.11739354,90.61306847,-0.597275251
0.00271567,2.715669881,-19.52777691,44.11657987,114.4192899,-0.491469823
0.00311368,3.113679904,-19.52866694,44.11637176,113.7571436,-0.494412695
0.00305031,3.050310227,-19.52777882,44.11713223,99.47664078,-0.557881597
0.004281243,4.28124348,-19.52727976,44.11495644,163.9645369,-0.271268725
0.003670587,3.67058705,-19.52544135,44.11645547,146.2560191,-0.349973249
0.003152919,3.152918552,-19.52836135,44.1175242,83.09937398,-0.630669449
0.002323283,2.323283463,-19.52885043,44.11736224,83.7897477,-0.627601121
0.0039182,3.918199941,-19.52770849,44.11674026,110.6950976,-0.508021789
0.002558015,2.558015099,-19.52589401,44.11523888,169.7647638,-0.245489939
0.004796183,4.796182972,-19.52906273,44.11650711,107.8387156,-0.52071682
0.003102529,3.102529079,-19.52801519,44.11559329,140.4058435,-0.375974029
0.002386168,2.386168189,-19.52752818,44.11492984,162.8516215,-0.276215016
0.002327345,2.32734524,-19.52718909,44.11702191,109.0596244,-0.515290558
0.004920241,4.920241257,-19.53078402,44.116148,118.0188169,-0.475471925
0.004969355,4.969355119,-19.52948671,44.11582644,127.0193553,-0.435469532
0.002937247,2.937246709,-19.53089934,44.11460281,164.7899456,-0.267600242
0.004203473,4.203473325,-19.52886419,44.11637332,112.6924029,-0.499144876
0.003129415,3.129415232,-19.53069422,44.11727853,83.87711947,-0.627212802
0.005558227,5.558227494,-19.52657673,44.11611747,139.3028151,-0.380876378
0.003931011,3.931010509,-19.52678639,44.11488632,170.0757152,-0.244107932
0.005585247,5.585247402,-19.52885534,44.11438024,172.1824659,-0.234744596
