PDS_VERSION_ID                = PDS3                                          
                                                                              
RECORD_TYPE                   = FIXED_LENGTH                                  
RECORD_BYTES                  = 80                                            
FILE_RECORDS                  = 809                                           
LABEL_RECORDS                 = 42                                            
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,3(1X,F11.8))"  
^TABLE                        = 44                                            
PRODUCT_ID                    = "ACCELEROMETER_DATA_P164"                     
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                           
INSTRUMENT_NAME               = "ACCELEROMETER"                               
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                
TARGET_NAME                   = MARS                                          
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.31                        
START_TIME                    = 2001-12-24T22:54:16.00Z                       
STOP_TIME                     = 2001-12-24T23:07:01.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                        = TABLE                                         
 ROWS                         = 766                                           
 ROW_BYTES                    = 80                                            
 INTERCHANGE_FORMAT           = ASCII                                         
 COLUMNS                      = 4                                             
 ^STRUCTURE                   = "ACCEL.FMT"                                   
 DESCRIPTION                  = "                                             
  The data in this file are the 1 second accelerometer data from Mars Odyssey 
  for orbit 164 of aerobraking at Mars.  The data comes from telemetry file   
  p164_accel_raw1_1hz.drf which is converted from a higher sample rate        
  to 1 second acceleration by the GDS. The sample rate changed twice during   
  the mission (TOLSONETAL2005) which changed the noise level on the 1 sec data
  The data is also adjusted for angular motion due to the offset              
  of the IMU from the center of mass and interpolated to the same time stamps 
  as the rate and quaternion data.                                            
                                                                              
  Robert H. Tolson                                                            
  03-Nov-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT                    = TABLE                                         
END                                                                           
                                                                              
2001-358T22:57:18.000  0.00004528  0.00005151  0.00027163                     
2001-358T22:57:19.000  0.00048500  0.00094408 -0.00040100                     
2001-358T22:57:20.000 -0.00004802  0.00091379 -0.00110314                     
2001-358T22:57:21.000 -0.00088792  0.00058225 -0.00038001                     
2001-358T22:57:22.000 -0.00055624  0.00105169  0.00048437                     
2001-358T22:57:23.000  0.00036829  0.00173888  0.00041870                     
2001-358T22:57:24.000 -0.00027810  0.00157082  0.00040560                     
2001-358T22:57:25.000 -0.00119553  0.00115587 -0.00032936                     
2001-358T22:57:26.000 -0.00044158  0.00137273  0.00011235                     
2001-358T22:57:27.000  0.00047546  0.00185238  0.00009573                     
2001-358T22:57:28.000  0.00030846  0.00142715  0.00023622                     
2001-358T22:57:29.000 -0.00061274  0.00053348  0.00052347                     
2001-358T22:57:30.000 -0.00028978  0.00057617  0.00026690                     
2001-358T22:57:31.000  0.00078001  0.00123329  0.00010510                     
2001-358T22:57:32.000  0.00084065  0.00226226  0.00064984                     
2001-358T22:57:33.000  0.00066809  0.00278992  0.00080636                     
2001-358T22:57:34.000  0.00105615  0.00269810  0.00078668                     
2001-358T22:57:35.000  0.00126042  0.00279876  0.00070243                     
2001-358T22:57:36.000  0.00094437  0.00294536  0.00015327                     
2001-358T22:57:37.000  0.00055906  0.00208173  0.00054096                     
2001-358T22:57:38.000 -0.00002005  0.00215350  0.00068002                     
2001-358T22:57:39.000 -0.00009312  0.00249952 -0.00018590                     
2001-358T22:57:40.000 -0.00035554  0.00172186 -0.00077930                     
2001-358T22:57:41.000 -0.00018176  0.00224038 -0.00070284                     
2001-358T22:57:42.000  0.00025062  0.00236923 -0.00012307                     
2001-358T22:57:43.000  0.00064722  0.00223522  0.00039978                     
2001-358T22:57:44.000  0.00035528  0.00251994  0.00045835                     
